,Unnamed: 0,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
256,256,6,8,0,1,0,1,0,3,2,0,22,31,-5.108720397890124,False,grandmaster
257,257,4,9,0,1,0,1,2,2,1,1,17,26,-6.8569072930366985,False,grandmaster
258,258,9,7,3,1,0,2,2,2,0,2,40,56,-5.527312513717995,False,grandmaster
259,259,10,2,1,0,1,1,4,0,2,0,45,33,3.050936270483504,True,grandmaster
260,260,8,9,1,2,2,1,3,3,2,0,45,45,1.2731440489465342,False,grandmaster
261,261,7,10,2,3,2,2,3,4,0,2,37,54,-4.97335789679007,False,grandmaster
262,262,9,3,2,0,1,0,2,1,0,2,26,16,7.093392494203769,True,grandmaster
263,263,7,4,2,0,1,0,4,0,1,1,28,14,9.40080968740424,True,grandmaster
264,264,11,7,5,2,1,2,4,2,2,0,40,33,2.579907941979812,True,grandmaster
265,265,7,6,1,1,0,1,4,0,2,0,30,26,0.5546723579282755,True,grandmaster
266,266,7,7,0,1,1,2,3,3,1,1,29,42,-7.078573852344135,False,grandmaster
267,267,7,4,1,0,1,0,1,2,0,2,35,28,6.701381356948062,True,grandmaster
268,268,1,8,0,1,0,0,0,3,1,1,22,41,-5.725417383394657,False,grandmaster
269,269,3,8,0,1,0,1,1,2,0,2,25,36,-7.458742268343457,False,grandmaster
270,270,11,3,3,0,2,0,2,2,1,0,43,26,7.799944119346797,True,grandmaster
271,271,7,2,1,0,1,0,2,1,1,1,35,25,7.35295960164872,True,grandmaster
272,272,11,4,3,0,2,0,3,2,0,1,40,29,5.035486845333672,True,grandmaster
273,273,11,2,2,0,1,1,4,0,2,0,36,33,-1.9918223433358195,True,grandmaster
274,274,3,11,0,3,0,2,0,4,1,1,18,41,-11.323480242351955,False,grandmaster
275,275,8,2,1,0,1,0,4,0,0,2,46,27,4.9896727091378,True,grandmaster
276,276,11,0,4,0,2,0,3,1,2,0,49,29,7.581407712798686,True,grandmaster
277,277,3,7,0,1,0,1,1,2,1,1,28,39,-5.504094159670423,False,grandmaster
278,278,4,8,0,1,0,1,2,2,1,0,15,28,-8.692979830559636,False,grandmaster
279,279,7,8,1,2,3,0,1,4,0,2,42,41,0.9788336305347728,True,grandmaster
280,280,9,2,1,0,1,0,4,0,0,1,40,25,5.899963282010951,True,grandmaster
281,281,3,9,0,1,0,2,0,4,0,2,21,28,-1.7200303895426217,False,grandmaster
282,282,10,1,1,0,1,0,3,0,1,1,21,10,6.769302051665186,True,grandmaster
283,283,10,1,2,0,1,0,3,0,2,0,30,14,11.367922916508036,True,grandmaster
284,284,7,5,1,0,0,1,2,2,1,1,25,22,-0.5003977707646428,True,grandmaster
285,285,4,8,0,1,1,1,1,4,0,2,27,29,-0.87858169465418,False,grandmaster
286,286,4,2,0,0,1,0,3,1,1,1,29,14,8.436171316869697,True,grandmaster
287,287,10,5,2,0,0,1,2,2,2,0,36,30,2.7217649558515404,True,grandmaster
288,288,10,0,2,0,1,0,2,1,1,1,33,18,9.556828119662775,True,grandmaster
289,289,9,2,2,0,1,0,1,2,1,1,34,23,7.940910662892314,True,grandmaster
290,290,4,11,0,2,0,1,0,4,0,2,24,39,-8.985941586547689,False,grandmaster
291,291,6,2,1,0,1,0,3,0,2,0,41,18,10.25531782908267,True,grandmaster
292,292,10,2,2,0,1,0,3,1,1,0,29,24,2.867667367697763,True,grandmaster
293,293,10,2,2,0,1,0,2,1,2,0,40,31,5.935832815765224,True,grandmaster
294,294,10,1,2,0,1,0,3,1,2,0,28,25,2.1889724457310398,True,grandmaster
295,295,3,5,0,0,0,1,0,3,0,1,15,30,-6.708394992658086,False,grandmaster
296,296,10,3,1,0,1,0,2,1,0,1,29,31,-1.6286649167211138,True,grandmaster
297,297,7,3,1,0,1,0,3,0,1,1,34,16,10.264696312889775,True,grandmaster
298,298,9,1,2,0,2,0,4,0,2,0,35,19,7.4112045415271695,True,grandmaster
299,299,2,10,0,2,0,1,0,4,0,2,20,33,-4.354247342238757,False,grandmaster
300,300,11,2,4,0,2,0,3,1,2,0,51,28,6.820370755000219,True,grandmaster
301,301,8,6,2,0,2,0,3,1,1,1,51,26,8.025732403971837,True,grandmaster
302,302,3,8,0,1,0,2,1,3,1,1,32,36,-5.570960853872066,False,grandmaster
303,303,8,0,1,0,1,0,3,1,1,1,38,31,2.194280814368831,True,grandmaster
