,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win
403,9,10,3,4,2,1,3,4,0,2,37,32,4.040985218553708,True
404,9,2,2,0,1,0,2,0,0,2,25,10,9.970663443619522,True
405,1,7,0,1,0,0,0,2,1,1,14,33,-11.761864859948247,False
406,1,8,0,2,0,1,1,2,1,1,4,22,-12.558853888859481,False
407,8,2,2,0,1,0,3,0,1,0,30,18,10.90341328776804,True
408,8,2,2,0,1,0,2,1,2,0,33,23,1.9370277176124304,True
409,1,7,0,1,1,0,0,4,1,1,24,30,-5.426168475541147,False
410,11,1,3,0,2,0,2,1,2,0,27,12,11.20363059124324,True
411,7,3,1,0,1,0,2,2,2,0,30,25,5.114558081409989,True
412,3,9,0,1,0,1,0,4,2,0,22,34,-5.77496119683024,False
413,10,6,4,0,2,0,4,2,0,2,44,33,3.1514972506974246,True
414,4,11,0,2,0,1,2,2,1,1,17,32,-4.358455279438267,False
415,4,9,0,1,0,1,2,1,1,1,18,38,-10.250218902913403,False
416,4,11,0,4,0,2,1,3,1,1,23,34,-5.663190462075441,False
417,5,9,1,1,0,1,3,2,1,1,25,29,-0.8057240113347675,False
418,5,8,0,1,0,1,2,2,1,1,33,43,-3.443728892091535,False
419,10,3,2,0,1,0,2,1,1,1,30,12,13.784017447953417,True
420,3,7,0,0,1,0,1,3,0,2,21,34,-3.3943163172704587,False
421,3,8,0,1,0,2,2,2,0,2,27,36,-0.7606770455937166,False
422,4,8,0,1,1,1,1,2,1,1,37,43,-4.87387000612086,False
423,7,4,1,0,1,0,0,2,2,0,30,22,3.215697556703965,True
424,2,5,0,0,0,1,0,3,2,0,15,21,-6.61240249997676,False
425,7,3,1,0,1,0,3,1,1,1,26,19,4.78747847335309,True
426,7,0,2,0,1,0,2,1,2,0,18,18,3.780746916051278,True
427,1,11,0,3,0,1,1,3,0,2,13,25,-5.942855425345805,False
428,8,5,1,0,1,0,1,3,1,1,32,24,5.282337501581829,True
429,10,4,2,0,1,0,3,1,2,0,43,25,7.862317350629738,True
430,3,11,0,5,1,1,3,2,2,0,31,40,-2.2736251939131407,False
431,3,11,0,3,0,2,2,1,0,2,22,47,-9.523158389150879,False
432,3,10,0,2,0,1,0,3,1,1,8,26,-14.349268360101888,False
433,8,7,1,2,2,0,2,3,0,2,48,62,-3.570060603741048,True
434,9,4,2,0,1,0,1,2,1,1,36,29,8.194888920538737,True
435,3,11,0,2,0,1,1,3,1,1,24,32,-4.8939176430842295,False
436,6,8,1,1,1,0,2,2,2,0,23,27,-2.729069311055838,False
437,11,3,3,0,2,0,2,2,0,2,37,31,2.10722348432472,True
438,8,5,1,0,1,0,4,1,1,1,48,44,2.059195486437673,True
439,8,3,1,0,1,0,2,1,0,2,40,24,2.605000036824592,True
440,3,9,0,1,1,0,1,2,1,1,29,36,-2.9735366714248244,False
441,2,9,0,2,0,1,2,2,0,2,21,37,-10.000697741995594,False
442,11,2,3,0,1,0,4,0,2,0,25,6,12.91449080918543,True
443,5,8,0,1,0,1,1,3,1,1,29,32,4.373059290400974,False
444,3,10,0,2,1,1,1,4,1,1,22,34,-4.269675314992497,False
445,5,8,0,1,0,1,3,0,0,2,24,26,-2.003345770482312,False
446,5,11,0,2,0,2,2,3,1,1,25,32,-3.3453389459653238,False
447,9,5,4,0,1,1,3,2,0,2,44,31,3.9953137849387446,True
448,2,9,0,1,0,1,0,3,2,0,18,31,-6.250378749359065,False
449,7,1,1,0,1,0,3,0,1,1,32,17,5.456166271888726,True
450,10,0,2,0,1,0,1,1,1,0,29,14,7.236444228828027,True
451,8,2,1,0,0,1,3,1,2,0,38,21,6.63739519445933,True
452,9,2,1,0,1,0,3,0,2,0,23,11,10.805284212582727,True
453,3,10,0,2,0,1,0,3,2,0,21,34,-9.664540166847921,False
454,4,2,0,0,1,0,3,0,1,1,34,13,13.767992825284104,True
455,10,6,3,0,2,0,3,2,0,2,43,29,6.146241243940587,True
456,2,8,0,1,0,1,0,4,0,2,24,37,-6.74483461987802,False
457,8,2,1,0,1,0,3,1,1,1,32,18,7.780608827986207,True
458,10,6,2,0,2,0,1,4,0,2,42,21,7.7630566046465646,True
459,2,10,0,1,0,2,1,3,1,1,20,34,-4.4069750134961865,False
460,3,10,0,1,1,1,2,2,0,2,18,41,-11.525436825356266,False
461,10,1,2,0,0,2,1,4,2,0,42,32,4.3203084033958135,True
462,10,3,2,0,2,0,3,2,1,1,42,34,3.6162247405384633,True
463,1,9,0,2,0,1,1,2,0,2,24,42,-6.627180599474258,False
464,8,5,1,1,1,1,4,1,1,1,42,35,4.010743246824838,True
465,2,9,0,1,0,2,2,3,2,0,20,41,-10.354874854541634,False
466,11,1,1,0,1,0,2,2,1,1,37,24,9.586846691916271,True
467,3,11,0,3,0,2,3,2,1,1,25,30,0.02932001129030226,False
468,1,7,0,1,0,1,1,3,0,2,13,31,-9.771046694688486,False
469,9,2,1,0,1,0,3,1,1,1,42,26,6.147355818553336,True
470,3,10,0,1,1,1,1,3,1,1,26,31,2.0713318107424,False
471,0,6,0,1,0,1,1,2,0,2,21,38,-9.831492931984009,False
472,9,10,3,4,2,1,3,4,0,2,37,32,4.040985218553708,True
473,9,2,2,0,1,0,2,0,0,2,25,10,9.970663443619522,True
474,1,7,0,1,0,0,0,2,1,1,14,33,-11.761864859948247,False
475,1,8,0,2,0,1,1,2,1,1,4,22,-12.558853888859481,False
476,8,2,2,0,1,0,3,0,1,0,30,18,10.90341328776804,True
477,8,2,2,0,1,0,2,1,2,0,33,23,1.9370277176124304,True
478,1,7,0,1,1,0,0,4,1,1,24,30,-5.426168475541147,False
479,11,1,3,0,2,0,2,1,2,0,27,12,11.20363059124324,True
480,7,3,1,0,1,0,2,2,2,0,30,25,5.114558081409989,True
481,3,9,0,1,0,1,0,4,2,0,22,34,-5.77496119683024,False
482,10,6,4,0,2,0,4,2,0,2,44,33,3.1514972506974246,True
