,Unnamed: 0,acesBefore15Minutes,assists,baronTakedowns,bountyGold,champExperience,championId,damagePerMinute,deaths,doubleAces,earlyLaningPhaseGoldExpAdvantage ,firstTowerKill,firstTurretKilled,gameLength,inhibitorKills,kda,killParticipation,kills,landSkillShotsEarlyGame ,lane,longestTimeSpentLiving,maxCsAdvantageOnLaneOpponent,maxKillDeficit,maxLevelLeadLaneOpponent,multikills,score,score_diff,soloKills,takedowns,teamBaronKills,turretKills,turretPlatesTaken,turretTakedowns,turretsLost,win
431,431,0,16,0,375,12272,497,224.73497191985987,10,0,,False,0,2068.3860969,0,1.8,0.5142857142857142,2,,BOTTOM,732,6.0,0,2,0,5.874397535187223,-4.195134181219608,0,18,0,0,0,1,11,False
336,336,0,25,1,0,9188,526,320.73579546622744,2,0,,False,1,1439.426019,0,13.5,0.6428571428571429,2,,BOTTOM,1015,21.19999998807907,1,2,0,8.155104449475004,11.87215624719542,0,27,1,0,0,8,3,True
234,234,0,11,1,300,15685,236,1104.7017548730837,7,0,,False,1,2253.8329392,1,3.4285714285714284,0.5714285714285714,13,,BOTTOM,938,50.75,0,1,1,9.904341780913503,-2.1669829180879034,0,24,1,1,2,2,10,False
258,258,0,7,0,450,11801,15,802.8351150497762,0,0,,False,0,1489.7391749,0,12.0,0.48,5,,BOTTOM,0,47.50000002980232,0,2,0,10.0,-0.4981552835152811,2,12,0,1,4,1,3,False
336,336,0,6,2,0,21542,887,1076.4088125011217,6,0,,False,1,1985.2972044,3,2.333333333333333,0.5,8,,JUNGLE,439,87.74999997019768,6,4,1,9.06773753634577,1.352333542035396,2,14,2,2,2,2,2,True
291,291,0,5,0,0,10458,200,281.17107463247044,4,0,,False,0,1481.9988004,0,2.0,0.6666666666666666,3,,JUNGLE,900,13.500000029802322,0,1,0,7.1470581064073855,-4.140022345377304,0,8,0,0,1,0,9,False
219,219,0,4,0,550,13938,18,830.9405750851801,6,0,,False,1,1723.6957177,0,1.8333333333333333,0.4230769230769231,7,,BOTTOM,664,28.400000005960464,0,1,1,9.139839791576792,-4.084081506662372,1,11,0,4,4,4,10,False
192,192,0,5,1,150,19914,104,868.1409070661151,2,0,,False,1,2132.9339194,0,8.0,0.5925925925925926,11,,JUNGLE,1144,64.0000002682209,0,2,3,9.397133176900152,2.3238717621667035,0,16,1,0,1,2,10,False
414,414,0,5,0,0,20510,777,1731.085303728013,5,0,,False,1,1625.264361,1,4.0,0.5405405405405406,15,,TOP,497,101.00000005960464,3,5,2,10.0,7.190339633003589,9,20,1,6,5,6,1,True
54,54,0,4,1,0,14039,200,489.9773615662413,3,0,,False,1,1655.5676797,0,2.6666666666666665,0.3636363636363636,4,,JUNGLE,939,85.950000166893,0,2,0,8.511482689916994,-2.590295524807509,0,8,1,2,1,2,7,False
93,93,0,3,0,450,13650,887,756.7443396287512,10,0,,False,0,1767.3018403,0,0.4,0.2222222222222222,1,,TOP,267,18.0,0,1,0,6.421378754865026,-13.020456537248222,0,4,0,0,1,0,11,False
29,29,0,24,2,0,13317,111,265.75385509477775,7,0,,False,1,2053.0826494,0,3.7142857142857135,0.7428571428571429,2,,BOTTOM,548,13.0,3,2,0,6.990391640223899,0.1172367341219597,0,26,2,0,0,0,3,True
392,392,0,12,1,300,18429,145,1078.0646189088886,9,0,,False,0,2016.0433446,1,2.888888888888889,0.490566037735849,14,,BOTTOM,502,83.59999996423721,8,3,2,9.962864452189336,6.02481316371793,1,26,1,2,2,3,7,True
405,405,0,13,0,0,13509,50,859.2522073684827,5,0,,False,0,1727.4294618,1,3.8,0.5,6,,BOTTOM,773,25.0,0,2,0,9.96739715333545,12.11728721624749,1,19,1,5,1,6,4,True
164,164,0,4,0,0,5728,526,158.34122890691037,6,0,,False,0,1400.4142633,0,0.8333333333333334,0.7142857142857143,1,,BOTTOM,407,20.150000005960464,0,0,0,4.76241757442544,-15.404397225916576,0,5,0,0,0,0,10,False
48,48,0,22,0,0,7760,111,402.5375329476524,8,0,,False,0,1625.0674557999998,0,3.125,0.6944444444444444,3,,MIDDLE,445,1.0,0,1,0,7.180961103745343,-1.4341229910936732,0,25,0,0,0,1,8,False
