,Unnamed: 0,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
237,237,9,3,1,0,1,0,3,1,1,1,27,18,8.47921301311861,True,grandmaster
238,238,0,8,0,1,0,1,2,2,0,2,18,39,-9.344060196484088,False,grandmaster
239,239,1,10,0,2,0,1,0,3,0,2,18,33,-8.588053399223647,False,grandmaster
240,240,3,9,0,1,0,1,1,1,0,2,26,31,-3.145101264799024,False,grandmaster
241,241,7,8,1,1,2,0,0,5,0,2,37,43,-2.5298063860627664,False,grandmaster
242,242,4,8,0,1,1,0,0,3,2,0,25,36,-1.0706717953365157,False,grandmaster
243,243,8,4,1,0,1,0,3,1,2,0,48,24,9.300287330391184,True,grandmaster
244,244,3,10,0,1,0,1,1,3,2,0,26,37,-4.043697003410237,False,grandmaster
245,245,3,7,0,1,0,2,3,2,1,1,38,48,-2.092559298731615,False,grandmaster
246,246,8,1,1,0,1,0,2,2,1,1,37,24,8.250091885694296,True,grandmaster
247,247,2,9,0,1,0,1,1,2,1,1,18,31,-6.815550158215928,False,grandmaster
248,248,10,3,3,0,2,0,3,2,1,1,39,37,3.210791347127845,True,grandmaster
249,249,9,2,1,0,1,0,2,2,2,0,27,18,6.564153447142999,True,grandmaster
250,250,9,2,1,0,1,0,3,1,2,0,30,21,8.025187846487285,True,grandmaster
251,251,8,11,0,2,2,1,0,5,2,0,45,54,-6.019747104396302,False,grandmaster
252,252,9,5,2,0,2,0,4,1,1,1,33,14,10.801234563821453,True,grandmaster
253,253,9,0,2,0,1,0,3,0,2,0,29,15,11.12119322821694,True,grandmaster
254,254,2,11,0,3,0,1,1,3,1,1,28,45,-5.537536523667846,False,grandmaster
255,255,3,7,0,2,0,1,1,2,0,2,27,54,-10.43726860627391,False,grandmaster
256,256,8,7,1,1,1,2,0,5,2,0,48,36,1.956000836692816,True,grandmaster
257,257,2,8,0,1,0,1,0,4,2,0,19,37,-6.629521960274182,False,grandmaster
258,258,6,10,1,3,1,1,2,4,1,1,56,55,-0.6229809517844416,True,grandmaster
259,259,8,2,1,0,1,0,2,2,2,0,33,29,0.7690142740128891,True,grandmaster
260,260,7,1,1,0,1,0,2,1,1,1,22,16,9.752605864695788,True,grandmaster
261,261,4,5,0,0,1,0,2,1,2,0,22,16,2.9833480565435906,True,grandmaster
262,262,3,8,0,1,0,0,1,2,0,2,39,41,-2.476495221237805,False,grandmaster
263,263,10,10,2,2,1,1,0,4,0,2,22,36,-7.114394012082215,False,grandmaster
264,264,11,2,2,0,1,0,2,1,1,1,23,15,4.927925302481143,True,grandmaster
265,265,4,11,0,3,0,2,1,2,2,0,22,32,-7.647417027117108,False,grandmaster
266,266,9,3,2,0,1,0,2,2,1,1,33,35,0.5852198472022181,True,grandmaster
